"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AADAC",281.149950935192,-6.78436821381385,1.18824979122535,-5.70954715406905,5.63771450557155e-07,6.71898926695048e-05
"ACACB",20934.4242554714,-5.18996150712535,0.955604407466298,-5.43107740669184,5.80948690733866e-06,0.000476718128497406
"ADH1A",1129.85774853476,-8.59998323771383,1.2691527918838,-6.77616067404217,1.06068153007392e-09,3.21572588091357e-07
"ADH1B",121455.243509556,-7.89878996368318,1.44011779717322,-5.4848221299588,8.32424880033793e-07,9.52657904096952e-05
"ADH1C",639.461889115021,-5.74549508355317,0.954157452621624,-6.02153771137768,3.28787107124804e-07,4.27200751746146e-05
"ADRA1A",134.885667454895,-5.99259793861127,0.963551750592842,-6.21927979989058,1.10082336532884e-07,1.78490478334827e-05
"ADRB2",745.534635806452,-4.34414011934121,0.799041967836361,-5.43668579900031,1.42465782170949e-05,0.00100899638594106
"AGTR1",1403.88687727782,-4.00812405734214,0.821790607301126,-4.87730575371915,0.0001258865155636,0.00555369545837343
"ABCD2",1515.18307558519,-6.45113849071098,0.988061675068895,-6.52908482687699,1.72415737361797e-08,3.77153969284711e-06
"ANGPT1",1271.08965962945,-3.73879005255595,0.630743600757669,-5.92759093879794,7.05441479611548e-06,0.0005592079912462
"ANK2",3490.9282083904,-3.12994660454624,0.548211898512267,-5.70937371669652,5.11098921211502e-05,0.00288637269851502
"AOX1",2219.04674833068,-4.2081253749902,0.585046165818055,-7.19280908217916,2.08446313373577e-08,4.33995270049251e-06
"APLP1",461.212816450921,4.01292489122357,0.593480686317078,6.76167731106179,1.9202072236108e-07,2.81212720603545e-05
"APOB",786.311864964263,-6.9379667959201,1.0360711311123,-6.69641937467328,4.98511965916446e-09,1.26688018867678e-06
"AQP7",5638.39472753208,-8.18929863420553,1.06026844262165,-7.72379739413578,5.9822349776253e-12,4.78829359304675e-09
"ABCC6",618.647546114642,-3.45188964054386,0.699069122373038,-4.93783737554619,0.000226285189909795,0.00876779006015957
"ASPA",331.311076963058,-5.44378088703655,0.813481486193277,-6.69195424779851,2.3451305512124e-08,4.76778835947076e-06
"ATP1A2",5050.25301489267,-8.28626419843535,0.789972614146929,-10.4893056417955,1.43860552728552e-20,1.24302710585105e-16
"KIF1A",486.85875495772,5.55411782844983,1.18249071844429,4.69696526308209,5.87628887706129e-05,0.0032034116114983
"BMP3",206.472552960009,-5.63390271764513,1.08603485211362,-5.18758924419464,9.91496551025474e-06,0.000758143889304036
"BUB1",1267.38529933137,5.13328884073294,0.95145200237512,5.3952157627696,6.98956288018365e-06,0.000556620443006699
"BUB1B",818.379924736921,4.3091873017579,0.879048975639379,4.90210149966173,8.34392828637484e-05,0.00407320408804643
"C6",1609.18560299474,-6.06275967621823,1.35570966360486,-4.47201922283067,9.41769084285639e-05,0.00441049093375071
"CA3",925.817048303315,-4.76601796906565,1.0145911540591,-4.69747636769565,0.000102878447240715,0.00474091319137812
"CA4",703.68994950951,-9.39970053051171,0.686000379540671,-13.7021797813079,8.9941075635559e-35,1.5542717280581e-30
"CA9",324.531315982061,6.08748850513926,1.39526695862932,4.362956112083,0.000133237955877653,0.00578513848121037
"CASQ2",402.70859374858,-4.37033978770942,0.90384117799142,-4.83529617163659,9.61574241077687e-05,0.00447896616174219
"CAV1",34051.5414263478,-3.41415002102936,0.602540320520221,-5.66625984146862,3.07969362699802e-05,0.00192826759304901
"CAV2",9243.81723852368,-3.0138676469712,0.578405636798445,-5.21064708783506,0.000249068124933264,0.00939769927286405
"CD36",87850.5157676665,-6.2873785246038,0.867889884580091,-7.24444268370038,5.56767875970388e-10,1.88656973816555e-07
"CDK1",1562.02927498266,3.54174885306314,0.668697344064847,5.29649008553514,7.20435016932373e-05,0.00370322146713721
"CDC6",1137.50805203499,3.74269942652654,0.765109977782824,4.89171430932365,0.000168725038949355,0.00694223190019954
"CDC20",1514.11708425023,5.07437319344257,1.02291043329399,4.96072092754203,3.40098880086838e-05,0.0020767663416186
"CDH2",244.946231089258,3.18537966473235,0.590380168291721,5.39547199552674,0.000107101758204858,0.004870593377732
"CDKN3",447.492105454576,4.16829146429536,0.892434870183971,4.67069542389809,0.00019249803317462,0.00776647118759975
"CDO1",3072.63197290145,-4.62466646949166,0.941554488471533,-4.91173535479511,5.91416419892804e-05,0.003213920488103
"CEBPA",6629.32748730235,-4.02784382088443,0.757081130056489,-5.32022746437214,3.17563392476065e-05,0.00196695805927558
"CENPA",300.059627371574,4.40375065670842,0.96002204141832,4.58713494765433,0.000195949369599102,0.00785661497921595
"CENPE",790.273590786286,3.50808713945211,0.688244002995376,5.09715613094223,0.000134121254903312,0.00579437351496035
"CENPF",3531.69504023609,3.65785593085637,0.761621187612255,4.80272344093269,0.000241750570246706,0.00924268054078169
"CES1",5781.81326884817,-4.89901852705569,0.577418063192994,-8.48435274082907,7.2656880773561e-12,5.45905894194742e-09
"CHIT1",570.601275579274,-5.84461999674872,1.20990088232632,-4.83066016574108,3.11286293797737e-05,0.00194199943794898
"CIDEA",4806.82629384398,-8.80162642844587,1.29278267819837,-6.80827998152938,7.96038412827365e-10,2.54747033556846e-07
"CKMT2",315.620655840062,-4.48977494143687,0.696610561964547,-6.44517207544921,2.7264588833073e-07,3.70991621751444e-05
"CMA1",155.286680594356,-5.47091239647395,1.04869505549853,-5.21687631479599,1.00713671906324e-05,0.000766710556922105
"CNTFR",1909.83744468076,-6.65284748666576,1.09870472062823,-6.05517329793731,1.33754456781138e-07,2.02755330494285e-05
"COL10A1",4375.94741759555,7.03381190160013,0.814682844725295,8.63380387489549,6.49201039870319e-14,1.60269188142843e-10
"COL11A1",9281.82763020736,9.66860817137252,1.12086350259825,8.62603532808402,5.2164418964109e-15,1.80290664823754e-11
"COMP",4512.9720154486,4.72937324981506,0.889586358333165,5.31637339704329,1.38097973094473e-05,0.000982086861335632
"CPA1",89.1090541511921,-8.8404826215175,1.26741123728172,-6.97522821438613,3.08127333464213e-10,1.18327743324335e-07
"CPM",8707.12631331505,-4.07904842703906,0.812883863641817,-5.01799655459322,7.59911586122491e-05,0.00385103581225301
"CRHBP",297.38247177635,-6.39848124898753,0.914852563851494,-6.99400264240411,1.80728786000695e-09,5.11995762439019e-07
"HAPLN1",411.046589800237,6.07013306425429,1.33877999011787,4.53407812266441,7.62631022585489e-05,0.00385351657932744
"CSN1S1",28.5058179973372,-5.39637401415807,1.05457848576157,-5.11709093919268,1.53080276800954e-05,0.00106668559007955
"CST1",439.02464147324,10.0386629278504,1.38589523800024,7.24345004773638,3.47131808762372e-11,1.93509186684598e-08
"CTSG",273.827889909128,-3.9129696945689,0.745887327661732,-5.24606002737116,4.70397194268328e-05,0.00270064249639567
"AKR1C1",6314.65575923953,-4.89503109992012,0.783147376711666,-6.2504596778115,3.28670733766154e-07,4.27200751746146e-05
"AKR1C2",7138.50577063993,-5.42710788122533,0.648696679963375,-8.36617181628206,4.40793935792024e-12,3.80868000221098e-09
"CFD",10647.416866439,-6.1655153947233,0.750207385138352,-8.21841469020765,2.88025848249227e-12,2.61967088610258e-09
"DPP6",84.1924650618496,-5.07286109856404,0.788150405268052,-6.43641247236147,1.18547438633417e-07,1.87946631837071e-05
"DPT",14240.1400023798,-4.69518470392806,0.80657795784072,-5.82111705171994,2.3103480685856e-06,0.000221806249851265
"EPYC",135.935250885001,7.12788601481841,1.25780330472055,5.6669321729935,5.52715377484053e-07,6.70653361800935e-05
"E2F2",387.22756603568,3.91397578895783,0.825465783470449,4.74153607252208,0.000207703555137571,0.00822602501452399
"EBF1",3926.03822905075,-3.78646658334043,0.615973144763663,-6.14712932784305,3.03865169200549e-06,0.000277835660791253
"S1PR1",3850.45374803057,-2.69636799214353,0.452155902031796,-5.96335905387324,8.78083940207262e-05,0.00423859457282729
"EEF1A2",3640.79949303043,5.23682216904712,1.21911936478472,4.29557787392859,0.000255284357778598,0.00952714700037531
"EPAS1",27288.2616505068,-2.68287975966539,0.451776566038998,-5.93851023125844,9.7647284797115e-05,0.0045361363671477
"EPB42",110.708339990474,-8.1723648187431,1.29676933780849,-6.30209597070995,1.59259208010795e-08,3.52840817132634e-06
"FABP4",101855.522947024,-7.31285643726621,1.20518529211292,-6.06782748273121,8.11307067235856e-08,1.34809590662527e-05
"FCN2",72.7101224469256,-5.194816996849,1.14478617132524,-4.53780551073158,0.000124048975690538,0.00551992245143921
"FGF2",3226.29195655846,-4.23013149147247,0.487600774728654,-8.67539944707123,1.74164009218559e-11,1.07490294403783e-08
"FHL1",46822.3501202284,-5.8925498851021,0.709406107318158,-8.30631400592013,2.66151677387628e-12,2.61967088610258e-09
"FIGF",1224.12644016094,-5.65919705387399,1.02615064153491,-5.51497687065616,2.80661002145261e-06,0.000262167717733635
"FOXM1",2525.68884162458,5.13177568052596,0.940521874837083,5.4563065653469,5.58816660567349e-06,0.000462313096074736
"FMO2",8609.53849817211,-5.2717894940149,0.700654236380654,-7.5240956527248,5.40867124618576e-10,1.86934495610672e-07
"FN1",252120.294593047,3.24769752773039,0.633837146074198,5.12386746003399,0.000195433181851744,0.00785414143158138
"FOLR2",1609.22054267213,-3.82835085028386,0.809543081021433,-4.72902670658797,0.000238133932248063,0.00912495686162988
"GDF10",668.568148696498,-4.62562844935234,1.04089743715797,-4.44388494411322,0.000247784189496796,0.0093902600409959
"GFRA2",166.988573585547,-4.05520753569291,0.670849093537341,-6.04488785146907,2.62876976573628e-06,0.00024823918208573
"GHR",10543.9583382114,-4.28294385259623,0.816561352713054,-5.24509743005347,2.90436236918345e-05,0.00182510131279488
"GJB2",2326.08495167314,6.0262065966694,0.687267282990599,8.76835948082201,1.30309221727323e-13,2.50208184518874e-10
"GPC3",5356.14795883989,-3.74467256950525,0.722196996797678,-5.18511235315246,7.22172116443052e-05,0.00370322146713721
"GLDC",154.519835661862,4.3261538668139,0.876026384541112,4.93838307059674,7.32693881745386e-05,0.00374606005042663
"GNAL",512.314764611759,-3.05615154785623,0.493744876310895,-6.18973825245707,1.56085671772839e-05,0.00107449759376232
"GPD1",33990.4928300953,-8.21069143233894,1.21060262925606,-6.78231752840695,1.29021339017655e-09,3.84416855097259e-07
"GPLD1",245.321454235089,-4.44410613087638,0.638181741493261,-6.96369990228451,3.39297683585278e-08,6.30473469896471e-06
"GPER",459.374641121326,-3.21383151428068,0.623090843312997,-5.1578859628118,0.000190444150427428,0.0077074130293592
"GPX3",36022.7267424404,-4.73009852295486,0.85737155176944,-5.5169762901427,6.78764317424707e-06,0.00054304287821372
"GRIA1",189.330425421561,-5.0913870272291,1.05486643588862,-4.82657031640232,5.25371972389737e-05,0.00292869453382808
"GRIN2D",162.810985013019,3.08688339139952,0.48363987283691,6.38260731749149,7.98183785062326e-06,0.000624136379622717
"GRM4",47.4358219195436,4.58515841459689,0.693018748711493,6.61621121091157,1.15029170057967e-07,1.84057322941827e-05
"GSN",85825.3059216387,-3.20479275533258,0.525631885667,-6.09702881944816,1.3670287000392e-05,0.000977454324547547
"GYS2",310.01214712176,-9.38279902730894,1.94867242937903,-4.814969866587,8.52042236026359e-06,0.000660275420662399
"HBA2",4687.2998309208,-6.55566089075941,0.775928287102106,-8.4487973949798,4.03330869451423e-13,5.80830062915837e-10
"HBB",7422.54459681471,-7.32218832039738,0.751157237408749,-9.74787695004654,1.93787800919483e-17,8.37211746922397e-14
"TLX1",318.593961697891,7.46511793646501,1.3945816783549,5.35294422143215,1.77772165958393e-06,0.000176556367811895
"HSD11B1",927.939277180657,-4.5139101660683,0.917641001081043,-4.91903714061448,6.425863285312e-05,0.00338552876321575
"IGFBP6",2146.52413050321,-3.51384256541949,0.596415212943689,-5.89160452174994,1.24933227772959e-05,0.00091871111027426
"INHBA",985.39360388551,4.40324418362524,0.671537474496922,6.55695973917748,2.01178151235158e-07,2.91985513621858e-05
"ITGA7",7425.24741101504,-5.07164915112156,0.676463140701526,-7.49730302505767,8.77349081139739e-10,2.75663081294106e-07
"KCNB1",392.491205061332,-5.16800193996909,0.756792168971281,-6.82882586773332,1.82024948937286e-08,3.93196642823155e-06
"KCNG1",366.480093528173,4.75710766334634,0.975187855334846,4.87814490031042,5.84126761379113e-05,0.0032034116114983
"KIF11",1855.93672712907,3.74934671861418,0.791239781416944,4.7385720570064,0.00025568231311284,0.00952714700037531
"LEP",13342.7487133952,-9.1873174814011,1.1149074416403,-8.24043067457177,1.04043439144304e-13,2.24746833981589e-10
"LEPR",3703.20516550399,-3.74194192503029,0.504175629614805,-7.42190162560846,2.68706595674803e-08,5.21743671893962e-06
"LHCGR",28.1338777116633,-7.1892216404632,1.45369003150336,-4.94549834191841,1.03407836123506e-05,0.000783767901776452
"LIFR",8407.54543581591,-2.8179315911802,0.444500425946967,-6.33954756101044,2.15843870215061e-05,0.00141287800044942
"LIPE",22171.3469282574,-6.91481720442773,0.891700718704926,-7.75463903906073,1.64258105388421e-11,1.05131271082123e-08
"MAOA",12054.2436044498,-5.28266433489655,0.810936116150929,-6.51427927513017,6.41924952497164e-08,1.10931051041035e-05
"MEOX2",1216.16728419915,-3.49075664452472,0.6592253627146,-5.2952402045793,7.89486768456011e-05,0.00392043702462308
"MFAP2",1799.43174183865,2.84753341067362,0.42157509298552,6.75451054403592,5.86750010237933e-06,0.000478284289005741
"MKI67",3994.8658693616,4.17449535549436,0.91903746518217,4.54224720280244,0.000276021780417931,0.00997893804895873
"MME",12493.0915325449,-3.59480058850492,0.599976111966356,-5.99157285899826,7.63213626666102e-06,0.000602241766320406
"MMP1",451.312627309509,6.85632779339175,1.2337006496768,5.55752953132345,1.03257888755282e-06,0.000115122553263227
"MMP11",9462.43123735481,6.4436252907973,0.755955228522614,8.52381867030706,2.9888683628956e-13,5.16506341791989e-10
"MMP13",405.365560087505,8.14333468739715,0.789336614621767,10.3166818015901,7.16183820583586e-20,4.12545753450165e-16
"MYBL2",2975.66540597878,5.85915418489813,0.927032283583455,6.3203345651022,7.95850213581239e-08,1.33525121756285e-05
"MYH1",166.707101834421,-7.16158722912721,0.958398832311896,-7.47244986917574,6.42049423622669e-11,2.99871786206036e-08
"MYH11",12632.4523927266,-3.26599414422098,0.630658774756768,-5.17870245360592,0.000163409324090827,0.0067477521066064
"MYOC",905.990877684197,-8.96404751162364,1.12527393816547,-7.96610248188783,7.34262135461472e-13,9.76060304839207e-10
"MYT1",35.5471652392506,4.83214873755151,1.05553778462119,4.57790219161662,0.000141443034021773,0.00600559476887041
"NEK2",862.888424696461,5.1219379592729,0.996223127002177,5.14135620870976,1.75509496440396e-05,0.00118475765936972
"NNAT",377.98476082487,-4.14325103994692,0.859177152589715,-4.82234778643544,0.00012687692309265,0.00555609886097296
"NOVA1",1038.04266173789,-4.2460184847278,0.731897026038473,-5.80138780958048,4.60200415713026e-06,0.000391759772607725
"NPR1",4449.77702968057,-4.64969316698358,0.65868687902014,-7.05903414062301,1.50493082763093e-08,3.4219354779329e-06
"NTRK2",12113.321874927,-3.92239657800299,0.536526785215211,-7.31071902855632,2.56306280627059e-08,5.07911877032294e-06
"PC",5775.14635900802,-3.44358937764071,0.667976606208988,-5.15525445896129,0.000126998382621626,0.00555609886097296
"PCDH9",568.61622930695,-4.85808471142661,0.753893026251022,-6.44399741377768,1.54765608110649e-07,2.32565606413924e-05
"PCK1",5939.33412227226,-9.02033831818938,1.19530847124898,-7.54645226329232,9.74137921065618e-12,7.01419892247289e-09
"PDE2A",2744.84041536621,-4.13845222578218,0.595180262329368,-6.95327531458358,6.70647991918783e-08,1.14747207409391e-05
"PDE3B",6275.0012826578,-5.91199962716671,1.03961425859844,-5.68672426168625,1.15155999056537e-06,0.000124375676231001
"PDK4",15412.7140345233,-3.29282044347672,0.55162096110231,-5.96935337064901,1.61569938380065e-05,0.00109924807289208
"ENPP2",7896.81225152121,-3.62036708623063,0.517560232577799,-6.99506426179377,2.06439408278581e-07,2.92416345447718e-05
"PFKFB1",723.157904650991,-6.31519949570104,1.02595808137759,-6.1554166883908,1.10517222277799e-07,1.78490478334827e-05
"PLIN1",58744.3741693506,-7.99096483813151,1.15714519230235,-6.90575814624617,7.63148900580126e-10,2.48829738696701e-07
"PLK1",1125.3688947394,4.79163281656921,0.845628525760377,5.66635664550298,3.66619947106108e-06,0.000321601995225414
"FXYD1",811.69117623317,-4.54868086559371,0.845553099743297,-5.37953307364688,1.35311722768838e-05,0.000974300783820118
"PPARG",5247.58362984949,-5.12279708540375,0.732714703402619,-6.99153034818905,9.18221863214946e-09,2.20386000253021e-06
"PPP1R1A",7368.84387548697,-5.98107782916697,0.912342860892952,-6.55573478518045,2.38529609742583e-08,4.79305835576927e-06
"PRELP",8721.0027205814,-3.43120357754983,0.656166545007596,-5.22916568004867,0.000105627696010882,0.00485466014564906
"PRKAR2B",19180.0417264491,-4.34904865669891,0.737108434157061,-5.90014773290767,2.76645305988316e-06,0.000259821061564352
"MAPK10",1159.25254714366,-3.67632129091474,0.60755237950983,-6.05103595163397,5.28706344311287e-06,0.000445556117608186
"MASP1",227.441310587002,-4.12574204550835,0.702104754967869,-5.87624854598393,4.25450786002927e-06,0.000367610751645829
"RELN",345.485885370583,-3.07242541923496,0.598248681666741,-5.13569943969634,0.000265951198521568,0.00971649611342753
"PTH1R",457.004741015093,-3.81682022680821,0.76179808546851,-5.01027805085759,0.000108826334063123,0.00493603117833288
"PTPRB",4969.20202051939,-2.57055325319834,0.437146057218121,-5.880307532811,0.000163607900738851,0.0067477521066064
"PTPRN",107.099154181195,6.62954989548856,0.920207327929462,7.20440893510984,4.74685934033722e-10,1.70896825542432e-07
"PYGM",597.551206118831,-6.05479861546034,0.960251290460265,-6.30543137573726,7.0463018805754e-08,1.19379551762964e-05
"RAD51",388.19763418538,3.74405196202568,0.76331658192952,4.90497920608698,0.000162254126326778,0.0067240133262663
"RBP4",11267.6160787519,-7.9882943988823,1.06485023560553,-7.50180084651973,2.64207699606061e-11,1.52192441896411e-08
"RDH5",2461.25333711952,-5.75159171354189,0.896116683548586,-6.41835133653111,5.71371619372723e-08,1.00003006620217e-05
"RGS4",1289.8451780186,4.37742106128788,0.711860160991066,6.14927102423256,1.04510609222657e-06,0.000115772297306201
